"animal_id","x","y"
1196,25027,15189
1196,24975,15367
1196,25050,15423
1196,25055,15415
1196,25042,15301
1196,25062,15302
1196,25072,15293
1196,25080,15307
1196,25061,15308
1196,25067,15297
1196,25090,15288
1196,25054,15291
1196,25068,15285
1196,25026,15244
1196,24897,15243
1196,24882,15244
1196,25073,15283
1196,25059,15309
1196,25058,15297
1196,25005,15294
1196,25091,15307
1196,25056,15256
1196,25036,15313
1196,25124,15274
1196,25000,15502
1196,25039,15438
1196,25011,15407
1196,25054,15408
1196,24888,15502
1196,24899,15550
1196,24850,15543
1196,24927,15495
1196,24048,15769
1196,23841,16025
1196,23815,16013
1196,23807,16002
1196,23799,16004
1196,23798,16000
1196,23802,16009
1196,23796,15996
1196,23790,15996
1196,23790,15998
1196,23789,16007
1196,23793,15996
1196,23791,15997
1196,23805,15995
1196,23780,15990
1196,23777,15995
1196,23785,15994
1196,23794,16002
1196,23788,16018
1196,23787,16001
1196,23789,16004
1196,23785,16001
1196,23794,16003
1196,23798,16008
1196,-9999,-9999
1196,23786,16008
1196,23786,16001
1196,23789,15991
1196,23804,16010
1196,23803,16006
1196,23812,16007
1196,23823,16022
1196,23791,16015
1196,23782,15994
1196,23775,16013
1196,23806,15999
1196,23803,16008
1196,23796,15999
1196,23792,16023
1196,23794,16020
1196,23795,16017
1196,23789,16004
1196,23793,16027
1196,23790,16031
1196,23784,16013
1196,23780,15991
1196,23801,16014
1196,23787,15992
1196,23800,16023
1196,23799,16003
1196,23799,16015
1196,23804,16003
1196,23789,16004
1196,23790,16007
1196,23783,16022
1196,23786,16028
1196,23788,16020
1196,23791,16001
1196,23800,16004
1196,23798,16012
1196,23792,15987
1196,23800,16002
1196,23813,16011
1196,23803,16016
1196,23804,16001
1196,23808,15996
1196,23811,16008
1196,23813,16013
1196,23809,15995
1196,23800,16009
1196,23953,15947
1196,23928,15936
1196,23869,15958
1196,23856,15962
1196,23841,15995
1196,23837,15955
1196,23883,15956
1196,23839,15967
1196,23848,15996
1196,23853,15969
1196,23881,15965
1196,23851,15976
1196,23770,15936
1196,23768,15922
1196,23762,15937
1196,23752,15934
1196,-9999,-9999
1196,23753,15931
1196,23768,15935
1196,23718,15968
1196,23756,15919
1196,23762,15941
1196,23754,15936
1196,23750,15920
1196,23756,15932
1196,23772,15931
1196,23769,15953
1196,23743,15931
1196,23764,15948
1196,23762,15951
1196,23769,15943
1196,-9999,-9999
1196,-9999,-9999
1196,23751,15946
1196,23860,15964
1196,23842,15957
1196,23851,15963
1196,23858,15974
1196,23843,15953
1196,23858,15955
1196,-9999,-9999
1196,23838,15964
1196,23847,15967
1196,23827,15997
1196,23828,15968
1196,23844,15980
1196,23843,15940
1196,23851,15959
1196,23852,15958
1196,-9999,-9999
1196,23839,15959
1196,23834,15963
1196,23862,15958
1196,23846,16036
1196,23851,15977
1196,23836,15954
1196,23848,15979
1196,23853,15973
1196,23850,15980
1196,23853,15945
1196,23845,15961
1196,23838,15964
1196,23856,15930
1196,23834,15955
1196,23850,15971
1196,23852,15951
1196,23828,15944
1196,23829,15942
1196,23835,15959
1196,23844,15955
1196,23865,15959
1196,23827,15942
1196,23845,15938
1196,23842,15947
1196,23843,15957
1196,23850,15970
1196,23877,15951
1196,23846,15985
1196,23926,15935
1196,23928,15952
1196,23934,15956
1196,23857,15960
1196,23914,15944
1196,23932,15949
1196,23942,15970
1196,23950,15942
1196,23930,15917
1196,23931,15950
1196,23929,15948
1196,23936,15950
1196,23855,16001
1196,23930,15948
1196,-9999,-9999
1196,23930,15950
1196,23822,15952
1196,23840,15946
1196,23924,15928
1196,23929,15930
1196,23951,15955
1196,23929,15945
1196,23929,15946
1196,23932,15950
1196,-9999,-9999
1196,23932,15933
1196,23933,16000
1196,23925,15978
1196,23945,15939
1196,23952,15976
1196,23927,15975
1196,23936,15956
1196,23987,15952
1196,23936,15967
1196,-9999,-9999
1196,23972,15969
1196,23967,15966
1196,23973,15935
1196,23984,15964
1196,23965,15945
1196,23976,15953
1196,23960,15992
1196,23962,15966
1196,23978,15967
1196,23943,15968
1196,23967,15984
1196,23951,15953
1196,23963,15953
1196,23973,15968
1196,23968,15946
1196,23972,15945
1196,23971,15950
1196,23993,15986
1196,23931,15939
1196,23966,15974
1196,23971,15966
1196,23979,15966
1196,23963,15946
1196,23937,15943
1196,23931,15955
1196,23950,15955
1196,23938,15968
1196,23971,15990
1196,23969,15967
1196,23983,15953
1196,23970,15963
1196,23980,15962
1196,23985,15958
1196,23995,15964
1196,23983,15954
1196,23974,15968
1196,23990,15963
1196,23971,15972
1196,23614,16262
1196,23501,16324
1196,23484,16329
1196,23468,16343
1196,23506,16338
1196,23491,16325
1196,23414,16439
1196,23971,15947
1196,23963,15948
1196,23957,15954
1196,23958,15948
1196,23975,15972
1196,23993,15957
1196,23993,15955
1196,23981,15944
1196,23972,15949
1196,23970,15968
1196,23957,15931
1196,23954,15939
1196,23869,15957
1196,23978,15945
1196,23964,15953
1196,23977,15953
1196,23981,15925
1196,23982,15939
1196,23967,16029
1196,23971,15950
1196,23993,15942
1196,23972,15948
1196,23973,15944
1196,23979,15947
1196,23977,15955
1196,24015,15945
1196,23992,15933
1196,23952,15969
1196,23970,15957
1196,23969,15973
1196,23976,15961
1196,23975,15962
1196,23972,15962
1196,23977,15976
1196,23989,15961
1196,23941,15952
1196,-9999,-9999
1196,-9999,-9999
1196,23911,15942
1196,-9999,-9999
1196,23932,15960
1196,23920,15952
1196,-9999,-9999
1196,23928,15950
1196,23880,15966
1196,23935,15957
1196,-9999,-9999
1196,23914,15922
1196,-9999,-9999
1196,23904,15943
1196,23923,15916
1196,23926,15926
1196,-9999,-9999
1196,23914,15951
1196,23988,15951
1196,23964,15936
1196,23962,15954
1196,23996,15937
1196,23972,15944
1196,23978,15960
1196,23963,15961
1196,23971,15947
1196,23966,15943
1196,23961,15958
1196,23977,15953
1196,23965,15959
1196,23938,15936
1196,23974,15948
1196,23983,15956
1196,23977,15967
1196,23345,16555
1196,23380,16545
1196,23300,16425
1196,23338,16485
1196,23254,16509
1196,23231,16508
1196,23237,16509
1196,23230,16498
1196,23242,16510
1196,23134,16532
1196,23213,16506
1196,23227,16497
1196,23230,16494
1196,23326,16545
1196,23327,16518
1196,23464,16185
1196,23512,16201
1196,23512,16209
1196,23515,16203
1196,23509,16210
1196,23448,16360
1196,23438,16383
1196,23381,16458
1196,23432,16386
1196,23525,16212
1196,23512,16213
1196,23616,16098
1196,23692,16034
1196,23741,15938
1196,23760,15898
1196,23711,15876
1196,23708,15920
1196,23744,15936
1196,23731,15923
1196,23715,15942
1196,23765,15900
1196,23694,15901
1196,23742,15924
1196,23702,15889
1196,23737,15938
1196,23733,15920
1196,-9999,-9999
1196,23718,15887
1196,-9999,-9999
1196,23737,15909
1196,23734,15928
1196,23722,15886
1196,23713,15913
1196,23746,15924
1196,23742,15913
1196,23745,15921
1196,23549,15970
1196,23506,15969
1196,23531,15973
1196,23527,15974
1196,23492,16121
1196,23506,16100
1196,23522,16143
1196,23619,16213
1196,23506,16209
1196,23547,16163
1196,23567,16051
1196,23466,16153
1196,23511,16101
1196,23529,15962
1196,23533,15965
1196,23662,15999
1196,23648,15998
1196,23659,16000
1196,23655,16016
1196,23756,15947
1196,23767,15906
1196,23791,15913
1196,23737,15898
1196,23730,15900
1196,23760,15916
1196,23770,15923
1196,23724,15911
1196,23790,15875
1196,23729,15910
1196,23787,15943
1196,23711,15899
1196,23730,15912
1196,23732,15911
1196,23747,15927
1196,23763,15912
1196,23744,15899
1196,23770,15903
1196,23723,15917
1196,23719,15909
1196,23715,15898
